Y,Z,rho,std
0.0,0.0,46,45.989
5.0,0.0,46,45.989
15.0,0.0,46,45.989
25.0,0.0,77,76.527
35.0,0.0,29,28.589
45.0,0.0,130,130.020
55.0,0.0,137,136.800
65.0,0.0,117,117.070
75.0,0.0,76,76.011
85.0,0.0,105,104.970
95.0,0.0,946,946.040
105.0,0.0,69,69.185
115.0,0.0,102,101.940
125.0,0.0,172,171.920
135.0,0.0,1371,1.370.800
140.0,0.0,1371,1.370.800
150.0,0.0,1371,1.370.800
0.0,-1.709,46,45.989
5.0,-1.709,46,45.989
15.0,-1.709,46,45.989
25.0,-1.709,77,76.527
35.0,-1.709,29,28.589
45.0,-1.709,130,130.020
55.0,-1.709,137,136.800
65.0,-1.709,117,117.070
75.0,-1.709,76,76.011
85.0,-1.709,105,104.970
95.0,-1.709,946,946.040
105.0,-1.709,69,69.185
115.0,-1.709,102,101.940
125.0,-1.709,172,171.920
135.0,-1.709,1371,1.370.800
140.0,-1.709,1371,1.370.800
150.0,-1.709,1371,1.370.800
15.0,-5.298,66,65.951
25.0,-5.298,13,13.162
35.0,-5.298,207,207.370
45.0,-5.298,16,16.463
55.0,-5.298,367,367.080
65.0,-5.298,146,145.520
75.0,-5.298,46,46.177
85.0,-5.298,16,16.384
95.0,-5.298,4,4.069
105.0,-5.298,28,27.810
115.0,-5.298,49,49.033
125.0,-5.298,1764,1.764.300
135.0,-5.298,110,109.900
15.0,-9.246,295,294.590
25.0,-9.246,90,89.698
35.0,-9.246,266,265.750
45.0,-9.246,17,16.716
55.0,-9.246,22,22.481
65.0,-9.246,12,12.184
75.0,-9.246,10,10.006
85.0,-9.246,13,12.877
95.0,-9.246,8,7.796
105.0,-9.246,23,23.493
115.0,-9.246,22,21.834
125.0,-9.246,10,10.153
135.0,-9.246,50,49.963
25.0,-13.588,532,532.270
35.0,-13.588,215,214.880
45.0,-13.588,23,23.136
55.0,-13.588,9,8.851
65.0,-13.588,38,37.718
75.0,-13.588,75,74.892
85.0,-13.588,58,57.762
95.0,-13.588,54,53.606
105.0,-13.588,68,68.356
115.0,-13.588,41,40.912
125.0,-13.588,66,65.869
35.0,-18.365,530,529.960
45.0,-18.365,89,89.063
55.0,-18.365,41,40.646
65.0,-18.365,158,157.570
75.0,-18.365,296,295.680
85.0,-18.365,237,237.260
95.0,-18.365,177,176.780
105.0,-18.365,180,180.340
115.0,-18.365,169,169.320
45.0,-23.619,333,333.320
55.0,-23.619,158,157.970
65.0,-23.619,468,467.980
75.0,-23.619,800,799.590
85.0,-23.619,663,662.950
95.0,-23.619,347,347.050
105.0,-23.619,320,319.730
55.0,-29.399,272,272.400
65.0,-29.399,1013,1.013.300
75.0,-29.399,1604,1.603.500
85.0,-29.399,1279,1.279.000
95.0,-29.399,374,373.790
55.0,-35.757,35,35.184
65.0,-35.757,1509,1.509.000
75.0,-35.757,2406,2.406.400
85.0,-35.757,1788,1.787.500
95.0,-35.757,84,83.593
