Y,Z,rho,std
0.0,0.0,175,174.590
5.0,0.0,175,174.590
15.0,0.0,175,174.590
25.0,0.0,406,405.920
35.0,0.0,1399,1.398.900
45.0,0.0,809,809.380
55.0,0.0,453,452.620
65.0,0.0,87,87.476
75.0,0.0,63,62.799
85.0,0.0,123,123.050
95.0,0.0,183,183.290
105.0,0.0,351,351.320
115.0,0.0,776,776.310
125.0,0.0,550,550.360
135.0,0.0,291,290.550
145.0,0.0,616,616.400
155.0,0.0,823,822.860
160.0,0.0,823,822.860
170.0,0.0,823,822.860
0.0,-1.709,175,174.590
5.0,-1.709,175,174.590
15.0,-1.709,175,174.590
25.0,-1.709,406,405.920
35.0,-1.709,1399,1.398.900
45.0,-1.709,809,809.380
55.0,-1.709,453,452.620
65.0,-1.709,87,87.476
75.0,-1.709,63,62.799
85.0,-1.709,123,123.050
95.0,-1.709,183,183.290
105.0,-1.709,351,351.320
115.0,-1.709,776,776.310
125.0,-1.709,550,550.360
135.0,-1.709,291,290.550
145.0,-1.709,616,616.400
155.0,-1.709,823,822.860
160.0,-1.709,823,822.860
170.0,-1.709,823,822.860
15.0,-5.298,97,96.873
25.0,-5.298,159,158.810
35.0,-5.298,343,343.120
45.0,-5.298,65,64.673
55.0,-5.298,13,13.114
65.0,-5.298,51,50.922
75.0,-5.298,298,297.870
85.0,-5.298,133,132.670
95.0,-5.298,1234,1.234.000
105.0,-5.298,124,123.800
115.0,-5.298,52,51.605
125.0,-5.298,346,345.890
135.0,-5.298,344,343.790
145.0,-5.298,594,593.660
155.0,-5.298,127,127.020
15.0,-9.246,217,216.810
25.0,-9.246,307,307.030
35.0,-9.246,18,18.368
45.0,-9.246,44,43.741
55.0,-9.246,45,45.018
65.0,-9.246,15,14.877
75.0,-9.246,13,12.699
85.0,-9.246,19,18.985
95.0,-9.246,72,71.651
105.0,-9.246,31,31.195
115.0,-9.246,368,368.400
125.0,-9.246,64,64.418
135.0,-9.246,255,254.530
145.0,-9.246,59,58.970
155.0,-9.246,45,44.621
25.0,-13.588,387,387.320
35.0,-13.588,21,21.045
45.0,-13.588,128,127.570
55.0,-13.588,388,388.130
65.0,-13.588,76,76.313
75.0,-13.588,250,249.680
85.0,-13.588,26,26.057
95.0,-13.588,140,139.870
105.0,-13.588,21,20.580
115.0,-13.588,339,339.100
125.0,-13.588,31,31.213
135.0,-13.588,162,162.430
145.0,-13.588,69,68.646
35.0,-18.365,334,334.010
45.0,-18.365,562,561.860
55.0,-18.365,1379,1.379.100
65.0,-18.365,713,712.760
75.0,-18.365,1904,1.904.000
85.0,-18.365,203,203.330
95.0,-18.365,1425,1.424.500
105.0,-18.365,61,61.161
115.0,-18.365,275,275.490
125.0,-18.365,143,143.030
135.0,-18.365,318,317.560
45.0,-23.619,1629,1.629.100
55.0,-23.619,3804,3.804.100
65.0,-23.619,3328,3.327.500
75.0,-23.619,4030,4.029.700
85.0,-23.619,1383,1.383.300
95.0,-23.619,3182,3.182.000
105.0,-23.619,603,603.250
115.0,-23.619,865,864.740
125.0,-23.619,939,939.380
55.0,-29.399,11541,11.541.000
65.0,-29.399,11841,11.841.000
75.0,-29.399,8767,8.767.100
85.0,-29.399,5973,5.973.400
95.0,-29.399,5718,5.718.100
105.0,-29.399,3285,3.284.900
115.0,-29.399,3456,3.456.200
65.0,-35.757,47887,47.887.000
75.0,-35.757,41470,41.470.000
85.0,-35.757,26908,26.908.000
95.0,-35.757,10191,10.191.000
105.0,-35.757,9067,9.067.400
65.0,-42.751,129226,129.226.000
75.0,-42.751,105591,105.591.000
85.0,-42.751,89069,89.069.000
95.0,-42.751,34689,34.689.000
105.0,-42.751,12476,12.476.000
