Y,Z,rho,std
45.0,0.0,67,67.355
47.5,0.0,67,67.355
52.5,0.0,67,67.355
57.5,0.0,49,49.009
62.5,0.0,194,194.310
67.5,0.0,444,444.260
72.5,0.0,104,104.340
77.5,0.0,89,89.253
82.5,0.0,90,90.384
87.5,0.0,31,31.159
92.5,0.0,16,16.265
95.0,0.0,16,16.265
100.0,0.0,16,16.265
45.0,-0.854,67,67.355
47.5,-0.854,67,67.355
52.5,-0.854,67,67.355
57.5,-0.854,49,49.009
62.5,-0.854,194,194.310
67.5,-0.854,444,444.260
72.5,-0.854,104,104.340
77.5,-0.854,89,89.253
82.5,-0.854,90,90.384
87.5,-0.854,31,31.159
92.5,-0.854,16,16.265
95.0,-0.854,16,16.265
100.0,-0.854,16,16.265
52.5,-2.649,17,17.216
57.5,-2.649,28,28.284
62.5,-2.649,29,29.308
67.5,-2.649,5,4.604
72.5,-2.649,1550,1.549.500
77.5,-2.649,1038,1.038.100
82.5,-2.649,347,346.560
87.5,-2.649,631,630.960
92.5,-2.649,14,14.450
52.5,-4.623,27,27.457
57.5,-4.623,17,16.626
62.5,-4.623,30,29.661
67.5,-4.623,6,5.754
72.5,-4.623,207,207.200
77.5,-4.623,352,352.100
82.5,-4.623,79,79.363
87.5,-4.623,47,47.388
92.5,-4.623,64,63.918
57.5,-6.794,21,20.741
62.5,-6.794,21,20.734
67.5,-6.794,5,4.896
72.5,-6.794,18,17.656
77.5,-6.794,34,33.889
82.5,-6.794,21,20.727
87.5,-6.794,66,65.924
62.5,-9.182,18,18.122
67.5,-9.182,5,4.912
72.5,-9.182,8,8.188
77.5,-9.182,24,23.585
82.5,-9.182,80,80.203
62.5,-11.81,52,51.974
67.5,-11.81,22,22.046
72.5,-11.81,42,42.247
77.5,-11.81,94,93.891
82.5,-11.81,308,307.540
