X,Z,rho,std
70.0,0.0,128,128.220
75.0,0.0,128,128.220
85.0,0.0,128,128.220
95.0,0.0,101,101.270
105.0,0.0,98,98.017
115.0,0.0,78,78.421
125.0,0.0,59,58.696
135.0,0.0,58,58.128
145.0,0.0,59,59.191
155.0,0.0,151,151.490
165.0,0.0,4944,4.944.300
170.0,0.0,4944,4.944.300
180.0,0.0,4944,4.944.300
70.0,-1.709,128,128.220
75.0,-1.709,128,128.220
85.0,-1.709,128,128.220
95.0,-1.709,101,101.270
105.0,-1.709,98,98.017
115.0,-1.709,78,78.421
125.0,-1.709,59,58.696
135.0,-1.709,58,58.128
145.0,-1.709,59,59.191
155.0,-1.709,151,151.490
165.0,-1.709,4944,4.944.300
170.0,-1.709,4944,4.944.300
180.0,-1.709,4944,4.944.300
85.0,-5.298,11,11.017
95.0,-5.298,218,217.520
105.0,-5.298,131,131.410
115.0,-5.298,541,541.360
125.0,-5.298,1064,1.064.000
135.0,-5.298,41,40.972
145.0,-5.298,59,59.308
155.0,-5.298,188,188.360
165.0,-5.298,69,69.220
85.0,-9.246,25,25.159
95.0,-9.246,3,2.564
105.0,-9.246,11,10.850
115.0,-9.246,28,27.982
125.0,-9.246,22,21.690
135.0,-9.246,42,41.808
145.0,-9.246,45,45.169
155.0,-9.246,24,24.255
165.0,-9.246,16,16.363
95.0,-13.588,29,29.096
105.0,-13.588,4,4.268
115.0,-13.588,10,9.760
125.0,-13.588,19,19.012
135.0,-13.588,68,68.409
145.0,-13.588,48,47.704
155.0,-13.588,22,21.541
105.0,-18.365,72,72.065
115.0,-18.365,77,76.797
125.0,-18.365,164,163.750
135.0,-18.365,244,243.890
145.0,-18.365,95,94.886
105.0,-23.619,455,455.020
115.0,-23.619,638,637.900
125.0,-23.619,1695,1.694.900
135.0,-23.619,1123,1.123.000
145.0,-23.619,688,687.580
