X,Z,rho,std
20.0,0.0,8,8.235
25.0,0.0,8,8.235
35.0,0.0,8,8.235
45.0,0.0,106,105.700
55.0,0.0,204,203.860
65.0,0.0,374,374.420
75.0,0.0,300,300.200
85.0,0.0,222,221.910
95.0,0.0,311,311.280
105.0,0.0,719,718.760
115.0,0.0,6743,6.742.900
120.0,0.0,6743,6.742.900
130.0,0.0,6743,6.742.900
20.0,-1.709,8,8.235
25.0,-1.709,8,8.235
35.0,-1.709,8,8.235
45.0,-1.709,106,105.700
55.0,-1.709,204,203.860
65.0,-1.709,374,374.420
75.0,-1.709,300,300.200
85.0,-1.709,222,221.910
95.0,-1.709,311,311.280
105.0,-1.709,719,718.760
115.0,-1.709,6743,6.742.900
120.0,-1.709,6743,6.742.900
130.0,-1.709,6743,6.742.900
35.0,-5.298,12,11.987
45.0,-5.298,47,46.968
55.0,-5.298,242,241.620
65.0,-5.298,24,24.064
75.0,-5.298,104,103.570
85.0,-5.298,362,362.110
95.0,-5.298,335,335.300
105.0,-5.298,367,367.360
115.0,-5.298,440,439.670
35.0,-9.246,52,51.998
45.0,-9.246,14,14.104
55.0,-9.246,27,27.319
65.0,-9.246,43,42.838
75.0,-9.246,37,36.507
85.0,-9.246,51,50.817
95.0,-9.246,33,32.933
105.0,-9.246,238,238.080
115.0,-9.246,50,49.713
45.0,-13.588,117,116.570
55.0,-13.588,15,15.048
65.0,-13.588,27,26.578
75.0,-13.588,41,41.355
85.0,-13.588,26,25.552
95.0,-13.588,8,8.226
105.0,-13.588,57,56.608
55.0,-18.365,205,204.510
65.0,-18.365,81,81.348
75.0,-18.365,93,92.938
85.0,-18.365,65,64.772
95.0,-18.365,23,22.969
55.0,-23.619,1171,1.170.700
65.0,-23.619,572,572.050
75.0,-23.619,463,463.230
85.0,-23.619,368,367.530
95.0,-23.619,104,103.790
