Y,Z,rho,std
0.0,0.0,110,110.480
5.0,0.0,110,110.480
15.0,0.0,110,110.480
25.0,0.0,49,49.393
35.0,0.0,32,31.537
45.0,0.0,31,30.967
55.0,0.0,22,21.925
65.0,0.0,43,43.280
75.0,0.0,271,271.100
85.0,0.0,585,584.650
95.0,0.0,371,370.750
105.0,0.0,78,78.035
115.0,0.0,57,56.630
125.0,0.0,44,44.013
135.0,0.0,75,75.322
145.0,0.0,252,252.300
155.0,0.0,734,733.750
165.0,0.0,374,374.430
175.0,0.0,177,176.720
185.0,0.0,194,193.980
190.0,0.0,194,193.980
200.0,0.0,194,193.980
0.0,-1.709,110,110.480
5.0,-1.709,110,110.480
15.0,-1.709,110,110.480
25.0,-1.709,49,49.393
35.0,-1.709,32,31.537
45.0,-1.709,31,30.967
55.0,-1.709,22,21.925
65.0,-1.709,43,43.280
75.0,-1.709,271,271.100
85.0,-1.709,585,584.650
95.0,-1.709,371,370.750
105.0,-1.709,78,78.035
115.0,-1.709,57,56.630
125.0,-1.709,44,44.013
135.0,-1.709,75,75.322
145.0,-1.709,252,252.300
155.0,-1.709,734,733.750
165.0,-1.709,374,374.430
175.0,-1.709,177,176.720
185.0,-1.709,194,193.980
190.0,-1.709,194,193.980
200.0,-1.709,194,193.980
15.0,-5.298,90,89.724
25.0,-5.298,4,3.543
35.0,-5.298,113,112.540
45.0,-5.298,9,9.096
55.0,-5.298,42,42.128
65.0,-5.298,39,38.691
75.0,-5.298,49,48.823
85.0,-5.298,41,40.644
95.0,-5.298,42,41.880
105.0,-5.298,47,47.139
115.0,-5.298,86,85.890
125.0,-5.298,60,60.180
135.0,-5.298,56,55.654
145.0,-5.298,18,18.229
155.0,-5.298,15,15.221
165.0,-5.298,62,62.146
175.0,-5.298,1214,1.214.400
185.0,-5.298,73,73.018
15.0,-9.246,131,131.450
25.0,-9.246,8,7.719
35.0,-9.246,32,32.163
45.0,-9.246,28,27.559
55.0,-9.246,30,30.109
65.0,-9.246,30,30.060
75.0,-9.246,18,17.684
85.0,-9.246,25,25.206
95.0,-9.246,28,27.597
105.0,-9.246,8,8.162
115.0,-9.246,7,6.956
125.0,-9.246,5,4.804
135.0,-9.246,6,5.955
145.0,-9.246,8,7.892
155.0,-9.246,43,43.468
165.0,-9.246,19,19.220
175.0,-9.246,243,242.630
185.0,-9.246,31,30.666
25.0,-13.588,144,143.870
35.0,-13.588,231,230.670
45.0,-13.588,224,224.080
55.0,-13.588,73,72.868
65.0,-13.588,112,112.370
75.0,-13.588,34,34.250
85.0,-13.588,32,32.481
95.0,-13.588,36,36.388
105.0,-13.588,21,20.535
115.0,-13.588,40,39.981
125.0,-13.588,22,22.242
135.0,-13.588,36,35.592
145.0,-13.588,46,46.180
155.0,-13.588,136,135.970
165.0,-13.588,17,17.208
175.0,-13.588,49,48.903
35.0,-18.365,487,487.050
45.0,-18.365,711,710.720
55.0,-18.365,338,338.080
65.0,-18.365,639,639.300
75.0,-18.365,185,184.820
85.0,-18.365,94,94.269
95.0,-18.365,95,95.431
105.0,-18.365,113,113.400
115.0,-18.365,269,268.960
125.0,-18.365,244,244.460
135.0,-18.365,364,363.760
145.0,-18.365,320,319.660
155.0,-18.365,293,292.740
165.0,-18.365,66,65.534
45.0,-23.619,1280,1.280.100
55.0,-23.619,1108,1.107.900
65.0,-23.619,1652,1.651.800
75.0,-23.619,798,798.210
85.0,-23.619,387,386.820
95.0,-23.619,344,343.970
105.0,-23.619,463,462.900
115.0,-23.619,855,855.030
125.0,-23.619,1033,1.032.600
135.0,-23.619,1444,1.444.200
145.0,-23.619,1179,1.178.600
155.0,-23.619,577,576.590
55.0,-29.399,2413,2.412.900
65.0,-29.399,2665,2.664.800
75.0,-29.399,1882,1.881.800
85.0,-29.399,1219,1.218.800
95.0,-29.399,1120,1.119.700
105.0,-29.399,1460,1.459.700
115.0,-29.399,2043,2.043.200
125.0,-29.399,2339,2.339.100
135.0,-29.399,2975,2.974.700
145.0,-29.399,2453,2.452.700
65.0,-35.757,4121,4.121.200
75.0,-35.757,3399,3.399.200
85.0,-35.757,2782,2.781.600
95.0,-35.757,2940,2.940.400
105.0,-35.757,3974,3.974.200
115.0,-35.757,4460,4.459.600
125.0,-35.757,3740,3.740.100
135.0,-35.757,4511,4.511.000
75.0,-42.751,7714,7.713.500
85.0,-42.751,6246,6.246.200
95.0,-42.751,8618,8.617.500
105.0,-42.751,12749,12.749.000
115.0,-42.751,14020,14.020.000
125.0,-42.751,8527,8.527.200
85.0,-50.444,15162,15.162.000
95.0,-50.444,24541,24.541.000
105.0,-50.444,37936,37.936.000
115.0,-50.444,40782,40.782.000
