Y,Z,rho,std
25.0,-0.854,822,821.730
27.5,-0.854,822,821.730
32.5,-0.854,822,821.730
37.5,-0.854,1251,1.250.700
42.5,-0.854,729,728.500
47.5,-0.854,88,87.949
52.5,-0.854,38,38.226
57.5,-0.854,20,19.546
62.5,-0.854,9,9.231
67.5,-0.854,20,19.724
72.5,-0.854,136,136.210
77.5,-0.854,297,296.550
82.5,-0.854,180,179.880
87.5,-0.854,39,39.007
92.5,-0.854,20,19.909
95.5,-0.854,20,19.909
100.0,-0.854,20,19.909
32.5,-2.649,121,121.090
37.5,-2.649,228,227.850
42.5,-2.649,503,502.530
47.5,-2.649,176,176.110
52.5,-2.649,18,17.500
57.5,-2.649,64,64.469
62.5,-2.649,150,149.790
67.5,-2.649,8,8.135
72.5,-2.649,12,12.487
77.5,-2.649,59,58.692
82.5,-2.649,49,49.359
87.5,-2.649,36,35.945
92.5,-2.649,29,28.531
32.5,-4.623,86,86.322
37.5,-4.623,59,58.712
42.5,-4.623,31,30.854
47.5,-4.623,87,87.140
52.5,-4.623,55,54.685
57.5,-4.623,73,72.915
62.5,-4.623,356,356.310
67.5,-4.623,95,94.895
72.5,-4.623,55,55.291
77.5,-4.623,12,12.065
82.5,-4.623,11,11.204
87.5,-4.623,21,20.972
92.5,-4.623,92,92.470
37.5,-6.794,101,101.460
42.5,-6.794,17,17.453
47.5,-6.794,67,66.837
52.5,-6.794,90,89.742
57.5,-6.794,49,48.575
62.5,-6.794,176,176.220
67.5,-6.794,102,101.700
72.5,-6.794,23,23.256
77.5,-6.794,5,5.382
82.5,-6.794,14,13.666
87.5,-6.794,99,99.079
42.5,-9.182,145,144.990
47.5,-9.182,86,85.619
52.5,-9.182,81,80.990
57.5,-9.182,40,40.139
62.5,-9.182,91,90.598
67.5,-9.182,34,34.028
72.5,-9.182,8,8.426
77.5,-9.182,17,16.608
82.5,-9.182,87,87.426
47.5,-11.81,259,258.820
52.5,-11.81,142,141.670
57.5,-11.81,86,85.982
62.5,-11.81,154,153.590
67.5,-11.81,65,65.315
72.5,-11.81,37,37.408
77.5,-11.81,112,112.000
52.5,-14.7,429,429.030
57.5,-14.7,361,360.770
62.5,-14.7,648,647.820
67.5,-14.7,488,488.340
72.5,-14.7,374,374.430
52.5,-17.879,672,671.540
57.5,-17.879,1308,1.308.300
62.5,-17.879,3474,3.473.500
67.5,-17.879,3637,3.637.400
72.5,-17.879,4593,4.593.300
